student_index,risk_score,risk_level,rec_rank,rule_id,risk_category,intervention_title,intervention_detail,responsible_party,urgency,trigger_feature,feature_value,shap_value,priority_score
7,0.9992,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.35190898,1.0557
7,0.9992,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.33660004,0.6732
9,0.955,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.0820758,6.2462
9,0.955,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.3333333333333333,0.93161243,2.7948
9,0.955,High,3,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.5,0.23347056,0.7004
9,0.955,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),2.0,0.20657048,0.6197
12,0.9939,High,1,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.4872323,4.4617
12,0.9939,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.4355057,4.3065
12,0.9939,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.48741075,1.4622
15,0.9538,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.2966677,3.89
15,0.9538,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.9712156,2.9136
15,0.9538,High,3,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,13.2,0.59390634,1.7817
15,0.9538,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.48704883,1.4611
35,0.9884,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.0349448,6.1048
35,0.9884,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.1428571428571428,1.0747782,3.2243
35,0.9884,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,13.0,0.7308393,2.1925
35,0.9884,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,37.0,0.47110698,0.9422
35,0.9884,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.3412532,0.6825
36,0.9986,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.4384986,4.3155
36,0.9986,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.9919036,2.9757
37,0.9814,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.4,1.2165463,3.6496
37,0.9814,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.817119,2.4514
37,0.9814,High,3,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,55.0,0.88971263,1.7794
37,0.9814,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.2,0.28593004,0.5719
39,0.9636,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,2.5870295,7.7611
39,0.9636,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.5,0.68107986,2.0432
39,0.9636,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,6.0,0.5362948,1.6089
39,0.9636,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.5,0.3238603,0.6477
40,0.9893,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.1836336,3.5509
40,0.9893,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.8386652,2.516
40,0.9893,High,3,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,12.75,0.65183,1.9555
40,0.9893,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.4575805,1.3727
43,0.9452,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,3.534278,10.6028
43,0.9452,High,2,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.2662874,0.7989
44,0.9984,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.4488839,4.3467
44,0.9984,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,1.1880214,3.5641
44,0.9984,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.44025743,1.3208
44,0.9984,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,29.0,0.4669223,0.9338
54,0.6136,Medium,1,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,27.0,0.5924311,1.1849
54,0.6136,Medium,2,R12,Financial,Scholarship awareness campaign,Inform the student about available scholarship and bursary opportunities. Assist with scholarship applications and connect them with the financial aid advisor.,Financial aid office,Medium,Scholarship holder,0.0,0.17246716,0.3449
56,0.989,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.4843498,4.453
56,0.989,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.1717019,3.5151
56,0.989,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.45414814,1.3624
56,0.989,High,4,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,39.0,0.38696945,0.7739
56,0.989,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.29053822,0.5811
57,0.8188,High,1,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,27.0,0.66164386,1.3233
57,0.8188,High,2,R12,Financial,Scholarship awareness campaign,Inform the student about available scholarship and bursary opportunities. Assist with scholarship applications and connect them with the financial aid advisor.,Financial aid office,Medium,Scholarship holder,0.0,0.24645527,0.4929
65,0.9345,High,1,R17,Personal,Mature student support,"Mature students often face competing responsibilities such as employment or family obligations. Connect with the mature student support programme. Explore flexible scheduling, online learning options, or part-time study.",Student services,Medium,Age at enrollment,29.0,0.53440666,1.0688
68,0.7817,High,1,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.5199018,1.5597
68,0.7817,High,2,R10,Financial,Debt management referral,Refer the student to a financial counsellor to manage existing debt. Investigate eligibility for institutional debt relief programmes or government financial assistance.,Financial aid office,High,Debtor,1.0,0.46106553,1.3832
70,0.4184,Medium,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.298411,3.8952
70,0.4184,Medium,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.8592289,2.5777
70,0.4184,Medium,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.44976598,1.3493
70,0.4184,Medium,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.2609652,0.5219
70,0.4184,Medium,5,R12,Financial,Scholarship awareness campaign,Inform the student about available scholarship and bursary opportunities. Assist with scholarship applications and connect them with the financial aid advisor.,Financial aid office,Medium,Scholarship holder,0.0,0.09629069,0.1926
73,0.9651,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.1666666666666666,1.2063615,3.6191
73,0.9651,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,8.0,0.99573493,2.9872
73,0.9651,High,3,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.3333333333333333,0.51008856,1.5303
73,0.9651,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),1.0,0.44670668,1.3401
73,0.9651,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.5,0.33541426,0.6708
75,0.7725,High,1,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.28175429,0.8453
76,0.9079,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.1666666666666666,1.1303781,3.3911
76,0.9079,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,7.0,0.7996181,2.3989
76,0.9079,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),1.0,0.4261997,1.2786
76,0.9079,High,4,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.5,0.42190874,1.2657
81,0.9836,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.2608705,3.7826
81,0.9836,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,6.0,0.86670375,2.6001
81,0.9836,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.48628482,1.4589
82,0.8942,High,1,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,8.0,0.919109,2.7573
82,0.8942,High,2,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.5,0.488437,0.9769
82,0.8942,High,3,R11,Financial,Comprehensive financial support plan,"The student faces multiple financial stressors. Coordinate between financial aid, academic advising, and student services to create a holistic support plan. Explore part-time work-study opportunities on campus.",Student services,High,Financial_Risk_Score,1.0,0.23116454,0.6935
89,0.9539,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.1714313,3.5143
89,0.9539,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,8.0,0.7473604,2.2421
89,0.9539,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.40328977,1.2099
89,0.9539,High,4,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.4,0.27494636,0.8248
90,0.9585,High,1,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,14.0,1.2909913,3.873
90,0.9585,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.2530625,3.7592
90,0.9585,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.41674373,1.2502
90,0.9585,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.27719983,0.5544
90,0.9585,High,5,R20,Socioeconomic,Career & employment guidance,High regional unemployment may reduce the perceived value of continuing education. Connect the student with career services to explore graduate employment prospects and the long-term benefits of completing their qualification.,Career services,Low,Unemployment rate,13.9,0.22247352,0.2225
92,0.9914,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.3885119,4.1655
92,0.9914,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.9375337,2.8126
92,0.9914,High,3,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,12.0,0.705409,2.1162
92,0.9914,High,4,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.31428352,0.9429
92,0.9914,High,5,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.3333333333333333,0.43402874,0.8681
93,0.9966,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.3565105,4.0695
93,0.9966,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,9.0,0.7701978,2.3106
93,0.9966,High,3,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,12.66666667,0.57227445,1.7168
99,0.9963,High,1,R09,Financial,Financial counselling & fee assistance,"Connect the student with the financial aid office immediately. Explore available scholarships, bursaries, emergency funds, or payment plan options. Ensure overdue fees do not result in sudden deregistration.",Financial aid office,High,Tuition fees up to date,0.0,1.7704937,5.3115
99,0.9963,High,2,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,0.9918,2.9754
99,0.9963,High,3,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,10.0,0.6943678,2.0831
99,0.9963,High,4,R07,Academic,Performance decline alert,"The student's grades have dropped between semesters. Conduct a wellbeing and academic check-in. Identify any personal, financial, or health-related factors contributing to the decline.",Counsellor,High,Grade_Drop,11.96,0.56374896,1.6912
99,0.9963,High,5,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.39807275,1.1942
100,0.8846,High,1,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,6.0,0.86896527,2.6069
100,0.8846,High,2,R16,Engagement,Declining performance intervention,"The student's approval rate is worsening across semesters. Arrange a meeting to discuss barriers. Explore counselling, study skills training, or course load adjustment.",Counsellor,High,Approval_Rate_Trend,-0.2444444444444444,0.35104647,1.0531
102,0.9901,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.4471768,4.3415
102,0.9901,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.2472053,3.7416
102,0.9901,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.43227163,1.2968
102,0.9901,High,4,R04,Academic,First semester academic review,Conduct an academic review meeting after the first semester. Identify subject-specific struggles and assign peer mentors. Set academic improvement goals for semester 2.,Academic advisor,Medium,Approval_Rate_Sem1,0.0,0.44816548,0.8963
104,0.9979,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.5364753,4.6094
104,0.9979,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.3120208,3.9361
104,0.9979,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.53054726,1.5916
106,0.9959,High,1,R03,Academic,Curriculum review meeting,Schedule a meeting with the student to review their subject choices and workload. Assess whether the course difficulty matches the student's preparation level. Explore bridging courses if needed.,Academic advisor,High,Approval_Rate_Sem2,0.0,1.5632068,4.6896
106,0.9959,High,2,R08,Academic,Academic probation support,Place the student on an academic improvement plan. Schedule bi-weekly check-ins with their advisor. Provide access to learning support services and consider a reduced unit load.,Academic advisor,High,Total_Units_Failed,12.0,1.4781395,4.4344
106,0.9959,High,3,R01,Academic,Academic support programme,Enrol the student in a structured academic support or tutoring programme. Assign a faculty mentor to monitor progress weekly. Consider a reduced course load for the next semester.,Academic advisor,High,Curricular units 2nd sem (approved),0.0,0.49823308,1.4947
107,0.752,High,1,R20,Socioeconomic,Career & employment guidance,High regional unemployment may reduce the perceived value of continuing education. Connect the student with career services to explore graduate employment prospects and the long-term benefits of completing their qualification.,Career services,Low,Unemployment rate,15.5,0.3335436,0.3335
